state,county,name,poverty,lower,upper,percent
00,000,United States,"48,208,387","47,966,830","48,449,944",15.5
01,000,Alabama,"905,682","888,317","923,047",19.2
01,001,Autauga County,"7,204","5,845","8,563",13.1
01,003,Baldwin County,"25,696","21,539","29,853",13.0
01,005,Barbour County,"5,943","4,539","7,347",25.4
01,007,Bibb County,"3,666","2,752","4,580",18.1
01,009,Blount County,"10,000","8,513","11,487",17.5
01,011,Bullock County,"3,179","2,474","3,884",35.1
01,013,Butler County,"4,988","4,098","5,878",25.0
01,015,Calhoun County,"23,114","20,246","25,982",20.5
01,017,Chambers County,"7,170","5,900","8,440",21.3
01,019,Cherokee County,"4,768","3,840","5,696",18.6
01,021,Chilton County,"7,874","6,373","9,375",18.1
01,023,Choctaw County,"3,293","2,686","3,900",25.0
01,025,Clarke County,"6,137","5,034","7,240",24.9
01,027,Clay County,"2,592","2,050","3,134",19.5
01,029,Cleburne County,"2,527","1,961","3,093",17.0
01,031,Coffee County,"8,407","7,058","9,756",16.8
01,033,Colbert County,"9,022","7,439","10,605",16.7
01,035,Conecuh County,"3,846","3,170","4,522",30.6
01,037,Coosa County,"1,976","1,531","2,421",18.8
01,039,Covington County,"7,778","6,372","9,184",20.8
01,041,Crenshaw County,"2,929","2,383","3,475",21.2
01,043,Cullman County,"13,809","11,622","15,996",17.2
01,045,Dale County,"10,865","9,474","12,256",22.4
01,047,Dallas County,"14,470","12,636","16,304",35.2
01,049,DeKalb County,"16,856","14,769","18,943",24.0
01,051,Elmore County,"10,867","9,033","12,701",14.4
01,053,Escambia County,"8,639","7,140","10,138",25.1
01,055,Etowah County,"19,291","16,596","21,986",19.0
01,057,Fayette County,"3,425","2,713","4,137",20.6
01,059,Franklin County,"7,222","5,973","8,471",23.1
01,061,Geneva County,"6,303","5,191","7,415",23.9
01,063,Greene County,"2,819","2,216","3,422",33.2
01,065,Hale County,"4,182","3,450","4,914",28.1
01,067,Henry County,"2,925","2,251","3,599",17.3
01,069,Houston County,"20,643","18,644","22,642",20.1
01,071,Jackson County,"11,440","9,956","12,924",22.0
01,073,Jefferson County,"125,778","117,669","133,887",19.5
01,075,Lamar County,"2,856","2,233","3,479",20.6
01,077,Lauderdale County,"17,041","14,948","19,134",18.7
01,079,Lawrence County,"5,499","4,395","6,603",16.6
01,081,Lee County,"37,752","34,865","40,639",25.2
01,083,Limestone County,"11,912","9,871","13,953",13.6
01,085,Lowndes County,"3,285","2,721","3,849",31.4
01,087,Macon County,"5,649","4,554","6,744",32.1
01,089,Madison County,"48,750","44,219","53,281",14.2
01,091,Marengo County,"5,071","4,221","5,921",25.6
01,093,Marion County,"5,925","4,615","7,235",20.2
01,095,Marshall County,"20,528","17,919","23,137",22.0
01,097,Mobile County,"80,016","72,140","87,892",19.6
01,099,Monroe County,"5,484","4,529","6,439",25.3
01,101,Montgomery County,"48,844","43,851","53,837",22.5
01,103,Morgan County,"17,665","14,635","20,695",15.0
01,105,Perry County,"4,246","3,606","4,886",46.9
01,107,Pickens County,"4,667","3,720","5,614",25.0
01,109,Pike County,"8,237","7,019","9,455",26.4
01,111,Randolph County,"4,512","3,537","5,487",20.4
01,113,Russell County,"12,309","10,158","14,460",20.9
01,115,St. Clair County,"12,071","9,988","14,154",14.3
01,117,Shelby County,"19,610","16,966","22,254",9.6
01,119,Sumter County,"4,692","3,817","5,567",38.1
01,121,Talladega County,"17,499","14,895","20,103",22.5
01,123,Tallapoosa County,"8,633","7,231","10,035",21.3
01,125,Tuscaloosa County,"34,553","29,855","39,251",18.0
01,127,Walker County,"15,161","13,430","16,892",23.5
01,129,Washington County,"3,077","2,372","3,782",18.5
01,131,Wilcox County,"3,697","2,963","4,431",33.7
01,133,Winston County,"4,796","3,874","5,718",20.1
02,000,Alaska,"81,622","77,611","85,633",11.4
02,013,Aleutians East Borough,544,418,670,16.2
02,016,Aleutians West Census Area,549,447,651,9.9
02,020,Anchorage Borough,"29,207","25,674","32,740",10.0
02,050,Bethel Census Area,"4,166","3,464","4,868",23.8
02,060,Bristol Bay Borough,89,67,111,9.5
02,068,Denali Borough,133,103,163,7.1
02,070,Dillingham Census Area,867,649,"1,085",17.5
02,090,Fairbanks North Star Borough,"9,011","7,519","10,503",9.5
02,100,Haines Borough,252,186,318,9.8
02,105,Hoonah-Angoon Census Area,397,306,488,19.1
02,110,Juneau Borough,"2,500","1,991","3,009",7.9
02,122,Kenai Peninsula Borough,"6,472","5,389","7,555",11.5
02,130,Ketchikan Gateway Borough,"1,685","1,400","1,970",12.4
02,150,Kodiak Island Borough,"1,146",893,"1,399",8.3
02,164,Lake and Peninsula Borough,288,224,352,17.7
02,170,Matanuska-Susitna Borough,"10,243","8,720","11,766",10.7
02,180,Nome Census Area,"2,509","2,122","2,896",26.1
02,185,North Slope Borough,"1,112",826,"1,398",11.5
02,188,Northwest Arctic Borough,"1,771","1,451","2,091",23.2
02,195,Petersburg Borough,276,216,336,8.8
02,198,Prince of Wales-Hyder Census Area,"1,105",844,"1,366",17.4
02,220,Sitka Borough,750,577,923,8.6
02,230,Skagway Municipality,37,28,46,3.6
02,240,Southeast Fairbanks Census Area,949,720,"1,178",13.8
02,261,Valdez-Cordova Census Area,931,722,"1,140",9.9
02,270,Wade Hampton Census Area,"2,845","2,395","3,295",35.7
02,275,Wrangell City and Borough,280,215,345,11.9
02,282,Yakutat Borough,94,70,118,14.8
02,290,Yukon-Koyukuk Census Area,"1,416","1,135","1,697",25.7
04,000,Arizona,"1,195,889","1,175,667","1,216,111",18.2
04,001,Apache County,"23,458","21,096","25,820",33.1
04,003,Cochise County,"22,879","19,557","26,201",18.7
04,005,Coconino County,"27,154","23,831","30,477",21.3
04,007,Gila County,"12,683","10,926","14,440",24.4
04,009,Graham County,"6,907","5,562","8,252",20.0
04,011,Greenlee County,955,753,"1,157",10.3
04,012,La Paz County,"4,545","3,493","5,597",22.8
04,013,Maricopa County,"687,643","668,724","706,562",17.1
04,015,Mohave County,"41,178","36,566","45,790",20.8
04,017,Navajo County,"30,157","27,341","32,973",28.5
04,019,Pima County,"183,590","173,054","194,126",18.7
04,021,Pinal County,"66,073","59,536","72,610",17.6
04,023,Santa Cruz County,"10,966","8,929","13,003",23.6
04,025,Yavapai County,"33,589","29,709","37,469",15.6
04,027,Yuma County,"44,112","39,073","49,151",22.6
05,000,Arkansas,"539,999","528,604","551,394",18.7
05,001,Arkansas County,"3,735","3,028","4,442",20.4
05,003,Ashley County,"4,707","3,903","5,511",22.7
05,005,Baxter County,"6,021","4,770","7,272",14.9
05,007,Benton County,"28,436","24,875","31,997",11.9
05,009,Boone County,"6,206","4,944","7,468",16.9
05,011,Bradley County,"3,012","2,432","3,592",27.4
05,013,Calhoun County,902,709,"1,095",18.0
05,015,Carroll County,"4,909","3,833","5,985",17.9
05,017,Chicot County,"3,357","2,683","4,031",32.1
05,019,Clark County,"4,285","3,363","5,207",21.5
05,021,Clay County,"2,981","2,365","3,597",19.9
05,023,Cleburne County,"3,831","3,077","4,585",15.2
05,025,Cleveland County,"1,393","1,086","1,700",16.6
05,027,Columbia County,"5,363","4,319","6,407",24.1
05,029,Conway County,"3,797","3,049","4,545",18.3
05,031,Craighead County,"21,974","19,592","24,356",22.3
05,033,Crawford County,"10,152","8,247","12,057",16.6
05,035,Crittenden County,"13,323","11,466","15,180",27.3
05,037,Cross County,"3,779","3,063","4,495",22.3
05,039,Dallas County,"1,544","1,176","1,912",21.0
05,041,Desha County,"3,325","2,651","3,999",27.3
05,043,Drew County,"4,249","3,530","4,968",24.0
05,045,Faulkner County,"17,140","14,655","19,625",14.7
05,047,Franklin County,"3,066","2,355","3,777",17.5
05,049,Fulton County,"2,700","2,156","3,244",22.6
05,051,Garland County,"17,929","15,448","20,410",18.7
05,053,Grant County,"2,382","1,916","2,848",13.3
05,055,Greene County,"6,994","5,668","8,320",16.3
05,057,Hempstead County,"5,383","4,390","6,376",24.4
05,059,Hot Spring County,"5,815","4,686","6,944",18.7
05,061,Howard County,"2,497","1,925","3,069",18.8
05,063,Independence County,"6,695","5,605","7,785",18.6
05,065,Izard County,"2,756","2,172","3,340",22.0
05,067,Jackson County,"3,864","3,084","4,644",25.1
05,069,Jefferson County,"18,042","15,717","20,367",26.8
05,071,Johnson County,"4,991","4,055","5,927",19.7
05,073,Lafayette County,"1,916","1,545","2,287",27.5
05,075,Lawrence County,"3,742","3,076","4,408",23.0
05,077,Lee County,"3,181","2,470","3,892",39.3
05,079,Lincoln County,"2,958","2,360","3,556",29.0
05,081,Little River County,"2,256","1,774","2,738",18.2
05,083,Logan County,"4,532","3,785","5,279",21.1
05,085,Lonoke County,"8,704","7,132","10,276",12.3
05,087,Madison County,"2,803","2,162","3,444",18.0
05,089,Marion County,"3,292","2,645","3,939",20.3
05,091,Miller County,"8,756","7,243","10,269",20.8
05,093,Mississippi County,"11,744","10,045","13,443",27.1
05,095,Monroe County,"2,103","1,690","2,516",28.1
05,097,Montgomery County,"1,801","1,369","2,233",20.1
05,099,Nevada County,"2,147","1,709","2,585",25.1
05,101,Newton County,"1,574","1,184","1,964",20.1
05,103,Ouachita County,"5,617","4,612","6,622",23.0
05,105,Perry County,"1,751","1,353","2,149",17.3
05,107,Phillips County,"6,950","5,562","8,338",35.3
05,109,Pike County,"2,161","1,710","2,612",20.0
05,111,Poinsett County,"5,239","4,186","6,292",21.9
05,113,Polk County,"4,399","3,608","5,190",22.0
05,115,Pope County,"10,868","9,044","12,692",18.3
05,117,Prairie County,"1,526","1,214","1,838",18.7
05,119,Pulaski County,"61,892","56,037","67,747",16.1
05,121,Randolph County,"3,141","2,471","3,811",18.3
05,123,St. Francis County,"7,607","6,095","9,119",33.4
05,125,Saline County,"9,909","7,855","11,963",8.7
05,127,Scott County,"2,501","1,992","3,010",23.7
05,129,Searcy County,"1,828","1,393","2,263",23.3
05,131,Sebastian County,"27,549","24,553","30,545",22.1
05,133,Sevier County,"3,514","2,765","4,263",20.4
05,135,Sharp County,"3,603","2,822","4,384",21.6
05,137,Stone County,"3,010","2,410","3,610",24.4
05,139,Union County,"9,184","7,972","10,396",23.1
05,141,Van Buren County,"3,647","3,068","4,226",22.0
05,143,Washington County,"41,097","37,204","44,990",19.3
05,145,White County,"14,506","12,516","16,496",19.4
05,147,Woodruff County,"1,707","1,328","2,086",25.1
05,149,Yell County,"3,749","2,905","4,593",17.4
06,000,California,"6,253,423","6,203,456","6,303,390",16.4
06,001,Alameda County,"197,984","186,953","209,015",12.5
06,003,Alpine County,211,164,258,19.0
06,005,Amador County,"4,313","3,381","5,245",12.9
06,007,Butte County,"48,151","44,057","52,245",21.9
06,009,Calaveras County,"6,057","4,889","7,225",13.7
06,011,Colusa County,"3,030","2,458","3,602",14.3
06,013,Contra Costa County,"115,466","106,262","124,670",10.5
06,015,Del Norte County,"5,388","4,271","6,505",22.4
06,017,El Dorado County,"20,715","18,116","23,314",11.4
06,019,Fresno County,"261,387","248,776","273,998",27.5
06,021,Glenn County,"4,723","3,796","5,650",17.1
06,023,Humboldt County,"27,609","24,659","30,559",21.0
06,025,Imperial County,"40,162","34,718","45,606",23.6
06,027,Inyo County,"2,533","2,032","3,034",14.0
06,029,Kern County,"206,604","196,231","216,977",24.5
06,031,Kings County,"33,174","29,471","36,877",24.9
06,033,Lake County,"15,387","13,523","17,251",24.3
06,035,Lassen County,"4,473","3,526","5,420",19.4
06,037,Los Angeles County,"1,863,025","1,823,807","1,902,243",18.7
06,039,Madera County,"32,542","27,824","37,260",22.3
06,041,Marin County,"22,272","19,261","25,283",8.8
06,043,Mariposa County,"2,830","2,225","3,435",16.2
06,045,Mendocino County,"16,256","13,710","18,802",18.8
06,047,Merced County,"64,585","59,569","69,601",24.8
06,049,Modoc County,"1,770","1,376","2,164",20.2
