state,county,hospitals,coverage,avg_score,state_name,population,poverty,percent,poverty_percent,original_county,fit,lwr,upr,result
AL,AUTAUGA,1.0,55.0,43.0,alabama,55290,7204.0,13.1,0.1,Autauga County,1.0,-1.0,3.0,In Range
AL,BALDWIN,3.0,67.0,38.0,alabama,199713,25696.0,13.0,0.1,Baldwin County,2.0,0.0,4.0,In Range
AL,BARBOUR,1.0,27.0,9.0,alabama,26815,5943.0,25.4,0.2,Barbour County,1.0,-1.0,3.0,In Range
AL,BIBB,1.0,23.0,24.0,alabama,22549,3666.0,18.1,0.2,Bibb County,1.0,-1.0,3.0,In Range
AL,BLOUNT,1.0,58.0,42.0,alabama,57658,1e4,17.5,0.2,Blount County,1.0,-1.0,3.0,In Range
AL,BULLOCK,1.0,11.0,32.0,alabama,10829,3179.0,35.1,0.3,Bullock County,1.0,-1.0,3.0,In Range
AL,BUTLER,2.0,10.0,32.5,alabama,20276,4988.0,25.0,0.2,Butler County,1.0,-1.0,3.0,In Range
AL,CALHOUN,3.0,39.0,38.666666666666664,alabama,115993,23114.0,20.5,0.2,Calhoun County,2.0,-0.0,4.0,In Range
AL,CHAMBERS,0.0,0.0,NA,alabama,34052,7170.0,21.3,0.2,Chambers County,1.0,-1.0,3.0,In Range
AL,CHEROKEE,1.0,26.0,19.0,alabama,25995,4768.0,18.6,0.2,Cherokee County,1.0,-1.0,3.0,In Range
AL,CHILTON,0.0,0.0,NA,alabama,43921,7874.0,18.1,0.2,Chilton County,1.0,-1.0,3.0,In Range
AL,CHOCTAW,1.0,13.0,NA,alabama,13289,3293.0,25.0,0.2,Choctaw County,1.0,-1.0,3.0,In Range
AL,CLARKE,2.0,12.0,41.5,alabama,24847,6137.0,24.9,0.2,Clarke County,1.0,-1.0,3.0,In Range
AL,CLAY,1.0,14.0,34.0,alabama,13538,2592.0,19.5,0.2,Clay County,1.0,-1.0,3.0,In Range
AL,CLEBURNE,0.0,0.0,NA,alabama,15072,2527.0,17.0,0.2,Cleburne County,1.0,-1.0,3.0,In Range
AL,COFFEE,1.0,51.0,23.0,alabama,50831,8407.0,16.8,0.2,Coffee County,1.0,-1.0,3.0,In Range
AL,COLBERT,2.0,27.0,22.5,alabama,54480,9022.0,16.7,0.2,Colbert County,1.0,-1.0,3.0,In Range
AL,CONECUH,1.0,13.0,51.0,alabama,12662,3846.0,30.6,0.3,Conecuh County,1.0,-1.0,3.0,In Range
AL,COOSA,0.0,0.0,NA,alabama,10807,1976.0,18.8,0.2,Coosa County,1.0,-1.0,3.0,In Range
AL,COVINGTON,2.0,19.0,21.0,alabama,37888,7778.0,20.8,0.2,Covington County,1.0,-1.0,3.0,In Range
AL,CRENSHAW,1.0,14.0,27.0,alabama,13948,2929.0,21.2,0.2,Crenshaw County,1.0,-1.0,3.0,In Range
AL,CULLMAN,1.0,81.0,25.0,alabama,81221,13809.0,17.2,0.2,Cullman County,1.0,-1.0,3.0,In Range
AL,DALE,1.0,50.0,20.0,alabama,49501,10865.0,22.4,0.2,Dale County,1.0,-1.0,3.0,In Range
AL,DALLAS,1.0,42.0,20.0,alabama,41662,14470.0,35.2,0.3,Dallas County,1.0,-1.0,3.0,In Range
AL,DEKALB,1.0,71.0,34.0,alabama,71012,16856.0,24.0,0.2,DeKalb County,1.0,-1.0,3.0,In Range
AL,ELMORE,2.0,41.0,25.0,alabama,81022,10867.0,14.4,0.1,Elmore County,1.0,-1.0,3.0,In Range
AL,ESCAMBIA,2.0,19.0,39.0,alabama,37784,8639.0,25.1,0.2,Escambia County,1.0,-1.0,3.0,In Range
